session_id,avg_exclusivity,high_echo_pct,session_echo_risk,avg_doom_score,high_doom_pct,est_read_minutes,total_words_read,doom_scroll_risk,echo_risk_raw,doom_risk_raw,combined_risk_score,overall_risk,flag_pure_bubble,flag_heavy_doom,flag_double_risk,flag_long_session,flag_high_doom_concentration,recommendation
session_000,1.92,13.3,LOW,11.84,23.3,22.0,4409,HIGH,25.36,12.96,17.92,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_001,2.37,26.7,MEDIUM,13.53,13.3,20.9,4180,LOW,36.12,32.34,33.85,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_002,1.62,13.3,LOW,14.18,16.7,23.3,4651,MEDIUM,18.18,39.79,31.15,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_003,2.15,23.3,LOW,11.26,10.0,26.8,5358,LOW,30.86,6.31,16.13,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_004,1.33,6.7,LOW,14.05,10.0,21.6,4329,LOW,11.24,38.3,27.48,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_005,2.12,10.0,LOW,14.4,10.0,17.9,3577,LOW,30.14,42.32,37.45,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_006,1.73,10.0,LOW,12.75,6.7,18.3,3663,LOW,20.81,23.39,22.36,LOW,0,0,0,0,0,"Low risk: Session shows balanced, diverse content consumption."
session_007,1.66,10.0,LOW,15.7,10.0,24.7,4949,MEDIUM,19.14,57.22,41.99,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_008,2.18,10.0,LOW,16.28,23.3,21.6,4323,HIGH,31.58,63.88,50.96,MEDIUM,0,0,0,0,1,Moderate risk: Mild content concentration detected. Worth monitoring.
session_009,2.28,10.0,MEDIUM,17.69,13.3,54.8,10965,HIGH,33.97,80.05,61.62,HIGH,0,0,0,1,1,"Low risk: Session shows balanced, diverse content consumption."
